合约代码,时间数,时间,最新,成交量,成交额,持仓,增仓,买卖标识,买一价,卖一价,买一量,卖一量,最高价,最低价
IH2603,45961.39513888889,2025-10-31 09:29:00,3048.0,23.0,21031200.0,15556,-11.0,3,3048.0,3049.2,4,2,3048.0,3048.0
IH2603,45961.395833333336,2025-10-31 09:30:00,3049.2,6.0,5488560.0,15559,3.0,1,3049.2,3054.6,1,2,3049.2,3049.2
IH2603,45961.395833333336,2025-10-31 09:30:00,3051.0,4.0,3660120.0,15557,-2.0,1,3049.4,3051.2,1,1,3051.0,3051.0
IH2603,45961.395844907405,2025-10-31 09:30:01,3051.2,1.0,915360.0,15557,0.0,1,3050.6,3052.2,3,1,3051.2,3051.2
IH2603,45961.395844907405,2025-10-31 09:30:01,3051.2,0.0,0.0,15557,0.0,0,3051.0,3054.0,1,3,3051.2,3051.2
IH2603,45961.39585648148,2025-10-31 09:30:02,3053.4,1.0,916020.0,15558,1.0,1,3051.2,3053.4,5,1,3053.4,3053.4
IH2603,45961.39585648148,2025-10-31 09:30:02,3052.2,4.0,3663720.0,15555,-3.0,1,3052.2,3053.6,1,1,3052.2,3052.2
IH2603,45961.39586805556,2025-10-31 09:30:03,3052.2,2.0,1831320.0,15553,-2.0,2,3052.6,3055.0,2,1,3052.2,3052.2
IH2603,45961.39586805556,2025-10-31 09:30:03,3052.2,1.0,915660.0,15553,0.0,2,3053.0,3054.6,1,1,3052.2,3052.2
IH2603,45961.39587962963,2025-10-31 09:30:04,3054.6,2.0,1832700.0,15551,-2.0,1,3053.4,3055.0,1,1,3054.6,3054.6
IH2603,45961.39587962963,2025-10-31 09:30:04,3053.6,5.0,4580820.0,15547,-4.0,1,3053.4,3055.8,2,3,3053.6,3053.6
IH2603,45961.395891203705,2025-10-31 09:30:05,3053.4,2.0,1832640.0,15547,0.0,2,3053.2,3054.6,1,3,3053.4,3053.4
IH2603,45961.395891203705,2025-10-31 09:30:05,3054.0,5.0,4580280.0,15545,-2.0,1,3053.0,3054.4,1,1,3054.0,3054.0
IH2603,45961.395902777775,2025-10-31 09:30:06,3054.0,0.0,0.0,15545,0.0,0,3051.2,3054.0,4,1,3054.0,3054.0
IH2603,45961.395902777775,2025-10-31 09:30:06,3054.0,0.0,0.0,15545,0.0,0,3051.8,3053.8,2,1,3054.0,3054.0
IH2603,45961.39591435185,2025-10-31 09:30:07,3054.0,1.0,916200.0,15545,0.0,1,3052.0,3053.0,4,1,3054.0,3054.0
IH2603,45961.39591435185,2025-10-31 09:30:07,3054.0,0.0,0.0,15545,0.0,0,3052.2,3053.0,1,1,3054.0,3054.0
IH2603,45961.39592592593,2025-10-31 09:30:08,3053.0,2.0,1831500.0,15544,-1.0,1,3052.0,3054.0,3,1,3053.0,3053.0
IH2603,45961.39592592593,2025-10-31 09:30:08,3053.6,1.0,916080.0,15544,0.0,1,3053.0,3053.8,1,2,3053.6,3053.6
IH2603,45961.3959375,2025-10-31 09:30:09,3053.0,2.0,1831800.0,15543,-1.0,2,3053.0,3053.4,1,1,3053.0,3053.0
IH2603,45961.3959375,2025-10-31 09:30:09,3053.0,1.0,915900.0,15542,-1.0,2,3052.0,3053.2,2,1,3053.0,3053.0
IH2603,45961.395949074074,2025-10-31 09:30:10,3053.4,1.0,916020.0,15541,-1.0,1,3052.2,3053.8,1,2,3053.4,3053.4
IH2603,45961.395949074074,2025-10-31 09:30:10,3052.4,1.0,915720.0,15540,-1.0,1,3052.4,3053.4,1,1,3052.4,3052.4
IH2603,45961.39596064815,2025-10-31 09:30:11,3053.2,1.0,915960.0,15539,-1.0,1,3052.4,3053.6,1,1,3053.2,3053.2
IH2603,45961.39597222222,2025-10-31 09:30:12,3053.2,0.0,0.0,15539,0.0,0,3052.0,3053.6,3,1,3053.2,3053.2
IH2603,45961.39597222222,2025-10-31 09:30:12,3053.2,0.0,0.0,15539,0.0,0,3053.4,3053.6,1,1,3053.2,3053.2
IH2603,45961.3959837963,2025-10-31 09:30:13,3053.2,1.0,915960.0,15540,1.0,2,3052.4,3053.6,1,1,3053.2,3053.2
IH2603,45961.3959837963,2025-10-31 09:30:13,3053.2,0.0,0.0,15540,0.0,0,3052.4,3053.2,1,3,3053.2,3053.2
IH2603,45961.39599537037,2025-10-31 09:30:14,3052.4,1.0,915720.0,15540,0.0,2,3052.0,3053.2,1,3,3052.4,3052.4
IH2603,45961.396006944444,2025-10-31 09:30:15,3052.4,0.0,0.0,15540,0.0,0,3052.2,3053.2,3,3,3052.4,3052.4
IH2603,45961.396006944444,2025-10-31 09:30:15,3052.4,1.0,915720.0,15539,-1.0,1,3052.2,3053.2,3,3,3052.4,3052.4
IH2603,45961.39601851852,2025-10-31 09:30:16,3052.4,0.0,0.0,15539,0.0,0,3052.2,3052.8,1,1,3052.4,3052.4
IH2603,45961.39601851852,2025-10-31 09:30:16,3052.0,2.0,1831260.0,15538,-1.0,2,3052.0,3052.8,1,1,3052.0,3052.0
