合约代码,时间数,时间,最新,成交量,成交额,持仓,增仓,买卖标识,买一价,卖一价,买一量,卖一量,最高价,最低价
IH2512,45961.39513888889,2025-10-31 09:29:00,3047.0,145.0,132544500.0,66795,-58.0,3,3046.8,3047.0,1,13,3047.0,3047.0
IH2512,45961.395833333336,2025-10-31 09:30:00,3047.6,27.0,24683100.0,66778,-17.0,1,3047.4,3047.8,8,1,3047.6,3047.6
IH2512,45961.395833333336,2025-10-31 09:30:00,3048.6,25.0,22859340.0,66762,-16.0,1,3048.2,3048.8,8,1,3048.6,3048.6
IH2512,45961.395844907405,2025-10-31 09:30:01,3048.8,20.0,18293160.0,66744,-18.0,1,3048.8,3049.6,1,2,3048.8,3048.8
IH2512,45961.395844907405,2025-10-31 09:30:01,3049.8,16.0,14637600.0,66730,-14.0,1,3049.2,3049.8,3,3,3049.8,3049.8
IH2512,45961.39585648148,2025-10-31 09:30:02,3050.0,18.0,16469400.0,66713,-17.0,1,3049.8,3050.0,9,4,3050.0,3050.0
IH2512,45961.39585648148,2025-10-31 09:30:02,3051.2,8.0,7321140.0,66706,-7.0,1,3050.2,3051.4,4,1,3051.2,3051.2
IH2512,45961.39586805556,2025-10-31 09:30:03,3051.2,10.0,9154560.0,66697,-9.0,1,3051.4,3052.6,1,1,3051.2,3051.2
IH2512,45961.39586805556,2025-10-31 09:30:03,3052.6,18.0,16482420.0,66691,-6.0,1,3052.0,3052.4,2,2,3052.6,3052.6
IH2512,45961.39587962963,2025-10-31 09:30:04,3052.2,15.0,13736580.0,66680,-11.0,1,3052.2,3052.4,4,3,3052.2,3052.2
IH2512,45961.39587962963,2025-10-31 09:30:04,3052.0,26.0,23808180.0,66659,-21.0,2,3051.8,3053.0,1,18,3052.0,3052.0
IH2512,45961.395891203705,2025-10-31 09:30:05,3052.4,16.0,14650080.0,66649,-10.0,1,3052.4,3052.6,2,1,3052.4,3052.4
IH2512,45961.395891203705,2025-10-31 09:30:05,3052.8,46.0,42120360.0,66643,-6.0,1,3051.4,3052.0,4,1,3052.8,3052.8
IH2512,45961.395902777775,2025-10-31 09:30:06,3051.4,18.0,16478160.0,66629,-14.0,2,3050.8,3052.0,2,1,3051.4,3051.4
IH2512,45961.395902777775,2025-10-31 09:30:06,3051.8,15.0,13730520.0,66622,-7.0,1,3050.6,3051.8,3,1,3051.8,3051.8
IH2512,45961.39591435185,2025-10-31 09:30:07,3050.6,15.0,13728960.0,66612,-10.0,2,3050.4,3051.8,1,2,3050.6,3050.6
IH2512,45961.39591435185,2025-10-31 09:30:07,3051.4,6.0,5491380.0,66606,-6.0,1,3050.2,3050.6,3,1,3051.4,3051.4
IH2512,45961.39592592593,2025-10-31 09:30:08,3051.4,16.0,14642580.0,66594,-12.0,1,3050.4,3051.4,4,1,3051.4,3051.4
IH2512,45961.39592592593,2025-10-31 09:30:08,3050.6,11.0,10067460.0,66585,-9.0,1,3050.0,3051.2,3,1,3050.6,3050.6
IH2512,45961.3959375,2025-10-31 09:30:09,3050.6,4.0,3660540.0,66581,-4.0,1,3050.2,3050.4,1,1,3050.6,3050.6
IH2512,45961.3959375,2025-10-31 09:30:09,3050.4,7.0,6405960.0,66574,-7.0,1,3050.4,3051.2,1,2,3050.4,3050.4
IH2512,45961.395949074074,2025-10-31 09:30:10,3050.2,7.0,6405960.0,66573,-1.0,2,3050.2,3050.4,2,1,3050.2,3050.2
IH2512,45961.395949074074,2025-10-31 09:30:10,3050.2,7.0,6406200.0,66570,-3.0,2,3050.2,3051.2,5,1,3050.2,3050.2
IH2512,45961.39596064815,2025-10-31 09:30:11,3051.0,1.0,915300.0,66569,-1.0,1,3050.4,3051.2,1,4,3051.0,3051.0
IH2512,45961.39596064815,2025-10-31 09:30:11,3050.6,7.0,6407040.0,66564,-5.0,1,3050.6,3050.8,4,2,3050.6,3050.6
IH2512,45961.39597222222,2025-10-31 09:30:12,3050.8,5.0,4576140.0,66561,-3.0,1,3051.2,3051.6,2,1,3050.8,3050.8
IH2512,45961.39597222222,2025-10-31 09:30:12,3050.8,7.0,6407040.0,66558,-3.0,2,3050.8,3051.2,2,3,3050.8,3050.8
IH2512,45961.3959837963,2025-10-31 09:30:13,3050.8,7.0,6406860.0,66556,-2.0,2,3050.4,3050.8,3,1,3050.8,3050.8
IH2512,45961.3959837963,2025-10-31 09:30:13,3050.6,4.0,3660540.0,66554,-2.0,1,3050.4,3050.6,1,3,3050.6,3050.6
IH2512,45961.39599537037,2025-10-31 09:30:14,3050.0,13.0,11895900.0,66544,-10.0,2,3049.8,3050.6,4,4,3050.0,3050.0
IH2512,45961.39599537037,2025-10-31 09:30:14,3050.6,11.0,10065780.0,66541,-3.0,1,3050.2,3050.6,3,1,3050.6,3050.6
IH2512,45961.396006944444,2025-10-31 09:30:15,3051.0,4.0,3660780.0,66539,-2.0,1,3050.6,3050.8,2,1,3051.0,3051.0
IH2512,45961.396006944444,2025-10-31 09:30:15,3050.6,7.0,6406140.0,66534,-5.0,2,3050.2,3050.8,5,9,3050.6,3050.6
IH2512,45961.39601851852,2025-10-31 09:30:16,3050.0,7.0,6404880.0,66530,-4.0,2,3049.6,3050.6,3,1,3050.0,3050.0
IH2512,45961.39601851852,2025-10-31 09:30:16,3050.6,8.0,7320120.0,66526,-4.0,1,3049.4,3050.6,1,4,3050.6,3050.6
IH2512,45961.39603009259,2025-10-31 09:30:17,3049.4,7.0,6405540.0,66523,-3.0,2,3049.6,3050.6,1,5,3049.4,3049.4
IH2512,45961.39603009259,2025-10-31 09:30:17,3049.4,13.0,11892900.0,66518,-5.0,2,3049.2,3050.4,1,2,3049.4,3049.4
IH2512,45961.39604166667,2025-10-31 09:30:18,3049.0,6.0,5488740.0,66515,-3.0,2,3048.8,3049.4,2,2,3049.0,3049.0
IH2512,45961.39604166667,2025-10-31 09:30:18,3048.8,14.0,12805980.0,66505,-10.0,2,3048.6,3049.6,4,1,3048.8,3048.8
IH2512,45961.396053240744,2025-10-31 09:30:19,3049.6,12.0,10976220.0,66499,-6.0,1,3047.8,3049.0,2,1,3049.6,3049.6
IH2512,45961.396053240744,2025-10-31 09:30:19,3049.6,1.0,914880.0,66499,0.0,1,3048.2,3049.0,2,1,3049.6,3049.6
IH2512,45961.39606481481,2025-10-31 09:30:20,3048.4,4.0,3658080.0,66495,-4.0,1,3048.4,3049.0,2,1,3048.4,3048.4
IH2512,45961.39606481481,2025-10-31 09:30:20,3048.8,3.0,2743920.0,66494,-1.0,1,3048.2,3048.8,3,1,3048.8,3048.8
IH2512,45961.39607638889,2025-10-31 09:30:21,3047.8,4.0,3657720.0,66490,-4.0,2,3047.8,3048.4,2,1,3047.8,3047.8
IH2512,45961.39607638889,2025-10-31 09:30:21,3048.8,6.0,5486640.0,66484,-6.0,1,3048.4,3048.8,1,2,3048.8,3048.8
IH2512,45961.39608796296,2025-10-31 09:30:22,3048.4,5.0,4572600.0,66482,-2.0,2,3047.4,3047.8,2,1,3048.4,3048.4
IH2512,45961.39608796296,2025-10-31 09:30:22,3047.8,7.0,6400080.0,66477,-5.0,1,3047.4,3048.4,2,1,3047.8,3047.8
IH2512,45961.396099537036,2025-10-31 09:30:23,3047.6,3.0,2743020.0,66475,-2.0,1,3047.6,3048.2,1,1,3047.6,3047.6
IH2512,45961.396099537036,2025-10-31 09:30:23,3048.0,3.0,2743080.0,66472,-3.0,1,3047.4,3047.6,2,6,3048.0,3048.0
IH2512,45961.39611111111,2025-10-31 09:30:24,3047.6,10.0,9142680.0,66464,-8.0,1,3047.2,3047.6,2,7,3047.6,3047.6
IH2512,45961.39611111111,2025-10-31 09:30:24,3047.8,15.0,13713900.0,66452,-12.0,1,3047.0,3047.6,14,1,3047.8,3047.8
IH2512,45961.39612268518,2025-10-31 09:30:25,3047.6,8.0,7314720.0,66447,-5.0,1,3047.6,3048.0,4,3,3047.6,3047.6
IH2512,45961.39612268518,2025-10-31 09:30:25,3047.6,9.0,8228700.0,66441,-6.0,2,3047.6,3047.8,4,7,3047.6,3047.6
IH2512,45961.39613425926,2025-10-31 09:30:26,3047.6,10.0,9142680.0,66437,-4.0,2,3047.2,3047.6,1,5,3047.6,3047.6
IH2512,45961.39613425926,2025-10-31 09:30:26,3047.4,4.0,3656760.0,66433,-4.0,1,3047.0,3047.6,17,5,3047.4,3047.4
IH2512,45961.396145833336,2025-10-31 09:30:27,3047.0,5.0,4570620.0,66429,-4.0,2,3047.0,3047.6,15,4,3047.0,3047.0
IH2512,45961.396145833336,2025-10-31 09:30:27,3047.6,6.0,5485560.0,66426,-3.0,1,3047.2,3047.8,3,6,3047.6,3047.6
IH2512,45961.396157407406,2025-10-31 09:30:28,3047.4,3.0,2742720.0,66425,-1.0,1,3047.4,3047.8,1,6,3047.4,3047.4
IH2512,45961.396157407406,2025-10-31 09:30:28,3047.4,0.0,0.0,66425,0.0,0,3047.2,3047.4,3,6,3047.4,3047.4
IH2512,45961.39616898148,2025-10-31 09:30:29,3047.4,11.0,10056120.0,66417,-8.0,1,3047.0,3047.6,14,2,3047.4,3047.4
IH2512,45961.39616898148,2025-10-31 09:30:29,3047.4,2.0,1828380.0,66415,-2.0,1,3047.2,3047.4,2,5,3047.4,3047.4
IH2512,45961.39618055556,2025-10-31 09:30:30,3047.2,8.0,7313460.0,66411,-4.0,2,3047.0,3047.4,15,2,3047.2,3047.2
IH2512,45961.39618055556,2025-10-31 09:30:30,3047.2,2.0,1828260.0,66411,0.0,1,3047.0,3047.2,15,2,3047.2,3047.2
IH2512,45961.39619212963,2025-10-31 09:30:31,3047.0,17.0,15539760.0,66399,-12.0,2,3047.0,3047.2,1,2,3047.0,3047.0
IH2512,45961.39619212963,2025-10-31 09:30:31,3046.8,4.0,3656280.0,66396,-3.0,2,3046.8,3047.0,4,4,3046.8,3046.8
IH2512,45961.396203703705,2025-10-31 09:30:32,3046.8,7.0,6398280.0,66390,-6.0,2,3046.2,3046.8,3,7,3046.8,3046.8
IH2512,45961.396203703705,2025-10-31 09:30:32,3046.2,5.0,4569480.0,66387,-3.0,2,3046.0,3046.2,7,7,3046.2,3046.2
IH2512,45961.396215277775,2025-10-31 09:30:33,3046.2,13.0,11879520.0,66380,-7.0,1,3045.6,3046.2,1,5,3046.2,3046.2
IH2512,45961.396215277775,2025-10-31 09:30:33,3046.2,1.0,913860.0,66379,-1.0,1,3045.8,3046.2,1,5,3046.2,3046.2
IH2512,45961.39622685185,2025-10-31 09:30:34,3046.2,5.0,4569300.0,66378,-1.0,1,3045.8,3046.2,1,3,3046.2,3046.2
IH2512,45961.39622685185,2025-10-31 09:30:34,3046.2,1.0,913860.0,66377,-1.0,1,3046.0,3046.2,1,3,3046.2,3046.2
IH2512,45961.39623842593,2025-10-31 09:30:35,3045.6,3.0,2741400.0,66376,-1.0,2,3045.6,3046.2,1,5,3045.6,3045.6
IH2512,45961.39623842593,2025-10-31 09:30:35,3045.6,5.0,4568640.0,66372,-4.0,2,3045.2,3046.0,4,3,3045.6,3045.6
IH2512,45961.39625,2025-10-31 09:30:36,3045.6,2.0,1827360.0,66370,-2.0,1,3045.4,3046.0,2,4,3045.6,3045.6
IH2512,45961.39625,2025-10-31 09:30:36,3045.4,2.0,1827300.0,66368,-2.0,2,3045.2,3045.4,4,4,3045.4,3045.4
IH2512,45961.396261574075,2025-10-31 09:30:37,3045.4,9.0,8222580.0,66360,-8.0,1,3045.2,3045.8,4,1,3045.4,3045.4
IH2512,45961.396261574075,2025-10-31 09:30:37,3045.8,1.0,913740.0,66359,-1.0,1,3045.4,3046.0,1,4,3045.8,3045.8
IH2512,45961.39627314815,2025-10-31 09:30:38,3045.6,5.0,4568880.0,66355,-4.0,1,3045.6,3045.8,1,1,3045.6,3045.6
IH2512,45961.39627314815,2025-10-31 09:30:38,3045.8,3.0,2741220.0,66354,-1.0,1,3045.2,3046.2,5,6,3045.8,3045.8
IH2512,45961.39628472222,2025-10-31 09:30:39,3046.0,2.0,1827600.0,66352,-2.0,1,3045.6,3046.2,1,5,3046.0,3046.0
IH2512,45961.39628472222,2025-10-31 09:30:39,3046.0,0.0,0.0,66352,0.0,0,3045.6,3046.0,1,4,3046.0,3046.0
IH2512,45961.3962962963,2025-10-31 09:30:40,3046.0,2.0,1827480.0,66350,-2.0,1,3045.4,3046.0,2,10,3046.0,3046.0
IH2512,45961.3962962963,2025-10-31 09:30:40,3045.8,5.0,4568280.0,66346,-4.0,1,3045.4,3045.8,1,2,3045.8,3045.8
IH2512,45961.39630787037,2025-10-31 09:30:41,3045.2,6.0,5481720.0,66343,-3.0,2,3045.4,3045.8,1,1,3045.2,3045.2
IH2512,45961.39630787037,2025-10-31 09:30:41,3045.2,5.0,4568400.0,66345,2.0,2,3045.6,3046.0,1,8,3045.2,3045.2
IH2512,45961.396319444444,2025-10-31 09:30:42,3046.0,4.0,3655080.0,66341,-4.0,1,3045.8,3046.0,1,4,3046.0,3046.0
IH2512,45961.396319444444,2025-10-31 09:30:42,3046.0,6.0,5482260.0,66339,-2.0,1,3045.8,3046.0,1,4,3046.0,3046.0
IH2512,45961.39633101852,2025-10-31 09:30:43,3046.0,2.0,1827540.0,66337,-2.0,1,3045.6,3045.8,1,1,3046.0,3046.0
IH2512,45961.39633101852,2025-10-31 09:30:43,3045.8,4.0,3654960.0,66334,-3.0,1,3045.4,3045.6,2,2,3045.8,3045.8
IH2512,45961.39634259259,2025-10-31 09:30:44,3046.0,8.0,7309860.0,66331,-3.0,1,3045.6,3046.0,4,1,3046.0,3046.0
IH2512,45961.39634259259,2025-10-31 09:30:44,3045.6,8.0,7310760.0,66324,-7.0,2,3045.6,3046.4,3,1,3045.6,3045.6
IH2512,45961.39635416667,2025-10-31 09:30:45,3045.6,2.0,1827360.0,66323,-1.0,2,3046.0,3046.2,1,2,3045.6,3045.6
IH2512,45961.39635416667,2025-10-31 09:30:45,3045.6,6.0,5482140.0,66321,-2.0,2,3045.4,3045.6,2,1,3045.6,3045.6
IH2512,45961.396365740744,2025-10-31 09:30:46,3045.6,8.0,7309080.0,66314,-7.0,1,3045.2,3045.8,4,1,3045.6,3045.6
IH2512,45961.396365740744,2025-10-31 09:30:46,3045.8,5.0,4568040.0,66311,-3.0,1,3045.4,3045.8,2,2,3045.8,3045.8
IH2512,45961.39637731481,2025-10-31 09:30:47,3045.8,0.0,0.0,66311,0.0,0,3045.4,3045.6,2,6,3045.8,3045.8
IH2512,45961.39637731481,2025-10-31 09:30:47,3045.2,7.0,6394980.0,66308,-3.0,2,3045.0,3045.4,17,1,3045.2,3045.2
IH2512,45961.39638888889,2025-10-31 09:30:48,3045.2,4.0,3654120.0,66304,-4.0,1,3045.0,3045.4,15,1,3045.2,3045.2
IH2512,45961.39638888889,2025-10-31 09:30:48,3045.0,2.0,1827060.0,66304,0.0,2,3045.0,3045.4,15,3,3045.0,3045.0
IH2512,45961.39640046296,2025-10-31 09:30:49,3045.4,8.0,7308120.0,66302,-2.0,1,3045.0,3045.4,8,1,3045.4,3045.4
IH2512,45961.39640046296,2025-10-31 09:30:49,3045.4,2.0,1827240.0,66302,0.0,1,3045.0,3045.6,8,6,3045.4,3045.4
IH2512,45961.39641203704,2025-10-31 09:30:50,3045.4,2.0,1827120.0,66301,-1.0,1,3045.2,3045.4,4,1,3045.4,3045.4
IH2512,45961.39641203704,2025-10-31 09:30:50,3045.4,6.0,5481480.0,66298,-3.0,1,3045.2,3045.4,3,1,3045.4,3045.4
IH2512,45961.39642361111,2025-10-31 09:30:51,3045.2,7.0,6394860.0,66292,-6.0,2,3045.0,3045.6,4,6,3045.2,3045.2
IH2512,45961.39642361111,2025-10-31 09:30:51,3045.4,1.0,913620.0,66292,0.0,1,3045.2,3045.4,2,1,3045.4,3045.4
IH2512,45961.39643518518,2025-10-31 09:30:52,3045.6,13.0,11877240.0,66280,-12.0,1,3045.2,3045.6,2,2,3045.6,3045.6
IH2512,45961.39643518518,2025-10-31 09:30:52,3045.2,9.0,8222580.0,66271,-9.0,2,3045.0,3045.2,9,2,3045.2,3045.2
IH2512,45961.39644675926,2025-10-31 09:30:53,3045.2,7.0,6395340.0,66264,-7.0,1,3045.6,3045.8,1,3,3045.2,3045.2
IH2512,45961.39644675926,2025-10-31 09:30:53,3045.2,3.0,2740920.0,66263,-1.0,2,3045.2,3045.8,5,3,3045.2,3045.2
IH2512,45961.396458333336,2025-10-31 09:30:54,3045.8,3.0,2741100.0,66260,-3.0,1,3045.2,3045.8,5,3,3045.8,3045.8
