合约代码,时间数,时间,最新,成交量,成交额,持仓,增仓,买卖标识,买一价,卖一价,买一量,卖一量,最高价,最低价
IH2511,45961.39513888889,2025-10-31 09:29:00,3049.0,43.0,39332100.0,16383,-10.0,3,3049.0,3049.6,2,12,3049.0,3049.0
IH2511,45961.395833333336,2025-10-31 09:30:00,3049.0,12.0,10976400.0,16380,-3.0,2,3048.2,3049.0,1,1,3049.0,3049.0
IH2511,45961.395833333336,2025-10-31 09:30:00,3049.6,14.0,12806460.0,16379,-1.0,1,3049.2,3049.6,1,8,3049.6,3049.6
IH2511,45961.395844907405,2025-10-31 09:30:01,3050.0,20.0,18298020.0,16360,-19.0,1,3050.0,3050.4,1,3,3050.0,3050.0
IH2511,45961.395844907405,2025-10-31 09:30:01,3050.4,9.0,8236200.0,16354,-6.0,1,3050.4,3051.8,3,3,3050.4,3050.4
IH2511,45961.39585648148,2025-10-31 09:30:02,3051.4,5.0,4576980.0,16350,-4.0,1,3050.8,3051.4,3,1,3051.4,3051.4
IH2511,45961.39585648148,2025-10-31 09:30:02,3051.0,13.0,11901060.0,16340,-10.0,1,3051.0,3051.8,1,2,3051.0,3051.0
IH2511,45961.39586805556,2025-10-31 09:30:03,3052.6,8.0,7324620.0,16334,-6.0,1,3051.4,3052.6,7,2,3052.6,3052.6
IH2511,45961.39586805556,2025-10-31 09:30:03,3052.6,3.0,2747340.0,16332,-2.0,1,3051.8,3052.8,3,10,3052.6,3052.6
IH2511,45961.39587962963,2025-10-31 09:30:04,3052.0,22.0,20147100.0,16317,-15.0,1,3052.0,3052.8,5,1,3052.0,3052.0
IH2511,45961.39587962963,2025-10-31 09:30:04,3052.0,12.0,10988760.0,16305,-12.0,2,3052.0,3054.4,1,3,3052.0,3052.0
IH2511,45961.395891203705,2025-10-31 09:30:05,3053.0,2.0,1831500.0,16306,1.0,1,3052.2,3053.8,6,2,3053.0,3053.0
IH2511,45961.395891203705,2025-10-31 09:30:05,3052.2,9.0,8240760.0,16298,-8.0,2,3051.4,3052.2,4,1,3052.2,3052.2
IH2511,45961.395902777775,2025-10-31 09:30:06,3051.4,12.0,10986600.0,16291,-7.0,2,3051.4,3052.0,4,4,3051.4,3051.4
IH2511,45961.395902777775,2025-10-31 09:30:06,3051.0,5.0,4576980.0,16287,-4.0,2,3050.6,3051.4,3,1,3051.0,3051.0
IH2511,45961.39591435185,2025-10-31 09:30:07,3050.6,3.0,2745600.0,16285,-2.0,2,3050.6,3051.2,4,1,3050.6,3050.6
IH2511,45961.39591435185,2025-10-31 09:30:07,3050.6,12.0,10982160.0,16275,-10.0,2,3050.2,3050.6,1,4,3050.6,3050.6
IH2511,45961.39592592593,2025-10-31 09:30:08,3050.6,11.0,10066380.0,16266,-9.0,1,3050.6,3051.4,1,2,3050.6,3050.6
IH2511,45961.39592592593,2025-10-31 09:30:08,3049.8,3.0,2745300.0,16263,-3.0,2,3049.8,3050.6,2,2,3049.8,3049.8
